TimeStamp,turbine_power1,turbine_power10,ws
2020-11-24 20:20:00,764.69,1299.22,7.39
2020-11-24 20:30:00,705.15,790.78,6.93
2020-11-24 20:40:00,907.07,659.45,7.06
2020-11-24 20:50:00,794.71,585.63,7.06
2020-11-24 21:00:00,1116.57,465.96,7.05
2020-11-24 21:10:00,1245.62,396.62,7.05
2020-11-24 21:20:00,1186.84,453.68,6.36
2020-11-24 21:30:00,1177.83,348.96,6.18
2020-11-24 21:40:00,1296.85,322.58,6.45
2020-11-24 21:50:00,1050.89,547.0,6.86
2020-11-24 22:00:00,1180.17,496.33,7.16
2020-11-24 22:10:00,1147.3,423.58,6.94
2020-11-24 22:20:00,1107.87,401.48,7.01
2020-11-24 22:30:00,1401.56,429.1,6.93
2020-11-24 22:40:00,1357.49,437.63,7.03
2020-11-24 22:50:00,1331.47,328.28,6.76
2020-11-24 23:00:00,1119.21,622.73,7.04
2020-11-24 23:10:00,1532.81,574.83,7.33
2020-11-24 23:20:00,1485.22,331.43,6.64
2020-11-24 23:30:00,1085.98,424.23,6.37
2020-11-24 23:40:00,746.78,867.28,6.17
2020-11-24 23:50:00,843.93,796.49,6.61
2020-11-25 00:00:00,1261.19,428.91,6.47
2020-11-25 00:10:00,1512.69,278.03,6.58
2020-11-25 00:20:00,1198.53,698.48,6.28
2020-11-25 00:30:00,427.9,857.5,6.31
2020-11-25 00:40:00,1593.62,543.93,6.93
2020-11-25 00:50:00,1763.91,950.81,7.33
2020-11-25 01:00:00,1534.15,1650.26,7.76
2020-11-25 01:10:00,748.26,1999.83,7.59
2020-11-25 01:20:00,759.37,1735.95,7.38
2020-11-25 01:30:00,885.74,2807.65,7.88
2020-11-25 01:40:00,1041.59,2902.73,7.91
2020-11-25 01:50:00,1137.22,2655.94,7.29
2020-11-25 02:00:00,693.73,1868.45,7.36
2020-11-25 02:10:00,492.01,1530.62,7.47
2020-11-25 02:20:00,1103.32,2108.1,7.55
2020-11-25 02:30:00,1740.83,2905.2,7.78
2020-11-25 02:40:00,1830.0,3093.7,7.86
2020-11-25 02:50:00,1282.49,2878.11,7.68
2020-11-25 03:00:00,1354.96,2842.49,8.23
2020-11-25 03:10:00,1293.83,2294.05,8.22
2020-11-25 03:20:00,1293.93,1281.6,7.79
2020-11-25 03:30:00,1178.03,1294.44,7.85
2020-11-25 03:40:00,1294.11,954.16,7.75
2020-11-25 03:50:00,1264.72,1048.8,7.46
2020-11-25 04:00:00,1424.11,1006.2,7.43
2020-11-25 04:10:00,1519.06,1203.24,7.42
2020-11-25 04:20:00,1487.25,1350.31,7.56
2020-11-25 04:30:00,1392.99,1473.25,7.53
2020-11-25 04:40:00,1212.78,1196.44,7.35
2020-11-25 04:50:00,1446.68,1529.13,7.14
2020-11-25 05:00:00,1459.17,1348.32,7.06
2020-11-25 05:10:00,1469.51,1367.03,7.11
2020-11-25 05:20:00,1326.8,1089.14,7.07
2020-11-25 05:30:00,1427.98,877.05,6.98
2020-11-25 05:40:00,1306.32,770.94,6.85
2020-11-25 05:50:00,1256.93,561.08,6.93
2020-11-25 06:00:00,1598.28,494.93,7.1
2020-11-25 06:10:00,1696.71,671.28,7.54
2020-11-25 06:20:00,1711.46,728.33,7.75
2020-11-25 06:30:00,1290.32,630.76,7.63
2020-11-25 06:40:00,1651.38,524.92,7.66
2020-11-25 06:50:00,1514.56,519.82,7.92
2020-11-25 07:00:00,1058.44,807.57,7.96
2020-11-25 07:10:00,1135.78,899.32,7.96
2020-11-25 07:20:00,1319.17,456.38,7.16
2020-11-25 07:30:00,1020.18,323.07,6.83
2020-11-25 07:40:00,914.41,333.83,6.57
2020-11-25 07:50:00,930.49,157.52,6.3
2020-11-25 08:00:00,943.0,408.31,6.05
2020-11-25 08:10:00,808.78,460.45,6.51
2020-11-25 08:20:00,904.15,428.03,6.61
2020-11-25 08:30:00,997.5,230.46,6.29
2020-11-25 08:40:00,963.68,440.42,6.12
2020-11-25 08:50:00,918.14,560.73,6.36
2020-11-25 09:00:00,1073.2,437.81,6.76
2020-11-25 09:10:00,1116.9,456.44,6.73
2020-11-25 09:20:00,1568.41,471.66,6.95
2020-11-25 09:30:00,1553.22,455.79,6.87
2020-11-25 09:40:00,1525.77,534.01,6.62
2020-11-25 09:50:00,1480.32,597.83,6.66
2020-11-25 10:00:00,1520.91,797.25,7.13
