,timestamp,windspeed,power
0,2021-02-19 07:30:00,0.47,-14.72
1,2021-02-19 08:00:00,0.36,-13.87
2,2021-03-06 17:50:00,0.35,-10.36
3,2021-03-14 16:20:00,0.36,-12.38
4,2021-03-14 16:30:00,0.35,-11.95
5,2021-03-14 16:40:00,0.41,-12.63
6,2021-03-14 16:50:00,0.42,-10.52
7,2021-03-14 17:50:00,0.34,-10.97
8,2021-03-14 18:00:00,0.28,-12.28
9,2021-02-19 08:10:00,0.74,-13.97
10,2021-03-06 18:00:00,0.68,-12.44
11,2021-03-14 04:20:00,0.67,-15.02
12,2021-03-14 05:20:00,0.64,-15.08
13,2021-03-14 05:30:00,0.62,-14.75
14,2021-03-14 14:00:00,0.64,-11.15
15,2021-03-14 14:40:00,0.57,-12.66
16,2021-03-14 14:50:00,0.5,-12.03
17,2021-03-14 15:00:00,0.58,-10.82
18,2021-03-14 15:10:00,0.6,-11.38
19,2021-03-14 16:10:00,0.53,-11.4
20,2021-03-14 17:00:00,0.7,-10.63
21,2021-03-14 17:30:00,0.58,-10.6
22,2021-03-14 18:10:00,0.53,-13.51
23,2021-03-14 18:20:00,0.52,-12.45
24,2021-03-14 21:20:00,0.54,-15.55
25,2021-03-14 21:30:00,0.67,-13.53
26,2021-03-06 17:40:00,0.92,-11.9
27,2021-03-14 04:50:00,0.91,-16.88
28,2021-03-14 05:00:00,0.8,-16.51
29,2021-03-14 05:10:00,0.83,-15.18
30,2021-03-14 13:50:00,0.77,-9.81
31,2021-03-14 14:20:00,0.89,-10.86
32,2021-03-14 14:30:00,0.84,-12.17
33,2021-03-14 15:20:00,0.91,-10.72
34,2021-03-14 17:10:00,0.93,-9.53
35,2021-03-14 18:30:00,0.94,-11.08
36,2021-03-14 20:50:00,0.92,-10.78
37,2021-03-14 21:00:00,0.96,-12.45
38,2021-03-14 21:10:00,0.88,-15.55
39,2021-03-14 04:00:00,1.13,-14.56
40,2021-03-14 04:10:00,1.22,-15.5
41,2021-03-14 13:30:00,1.16,-11.65
42,2021-03-14 13:40:00,1.03,-9.79
43,2021-03-14 14:10:00,1.05,-11.97
44,2021-03-14 15:30:00,1.19,-10.55
45,2021-03-14 16:00:00,1.17,-10.69
46,2021-03-14 21:40:00,1.19,-12.37
47,2021-01-30 14:20:00,1.4,-13.23
48,2021-01-30 14:30:00,1.47,-13.73
49,2021-02-19 07:10:00,1.31,-12.29
50,2021-03-14 03:40:00,1.3,-13.4
51,2021-03-14 05:50:00,1.27,-12.25
52,2021-03-14 18:40:00,1.26,-11.16
53,2021-03-14 18:50:00,1.44,-10.79
54,2021-03-14 20:40:00,1.31,-11.08
55,2021-02-19 08:20:00,1.54,-14.44
56,2021-03-06 20:10:00,1.63,-13.5
57,2021-03-14 06:00:00,1.55,-14.1
58,2021-03-14 15:40:00,1.65,-10.72
